lambda,alex_rouge,mathilde,a_c,m_e,alex_blanc,alex_bleu,,,,
585,0.715387205,0.898559589,0.306564917,0.522158952,0.865682466,0.58975506,,,,
586,0.719351389,0.893830244,0.303854294,0.691625782,0.863509084,0.584561735,,,,
587,0.724235394,0.89025678,0.303414733,0.679163429,0.863728864,0.581175491,,,,
588,0.726799497,0.886699597,0.302641433,0.385724276,0.864070744,0.575819366,,,,
589,0.728810079,0.882776113,0.29956044,0.300803641,0.864135864,0.570638251,,,,
590,0.732701003,0.878315388,0.299369149,0.315996966,0.863386983,0.566393236,,,,
591,0.735623266,0.874579125,0.296463166,0.388858179,0.862564843,0.560890591,,,,
592,0.74018167,0.871941762,0.296414326,0.592732823,0.863989344,0.558049728,,,,
593,0.743234173,0.868091538,0.295103785,0.479472749,0.863321863,0.553532024,,,,
594,0.747939098,0.863964554,0.293947904,0.26005069,0.864428904,0.550764421,,,,
595,0.749469419,0.860907981,0.292710623,0.20015651,0.863830614,0.546669997,,,,
596,0.75037296,0.856369926,0.29046398,0.186334776,0.862182262,0.542420912,,,,
597,0.754565065,0.853073223,0.29030932,0.194784105,0.863997484,0.54001961,,,,
598,0.758667629,0.852430162,0.288347578,0.307026677,0.863549784,0.536136826,,,,
599,0.743999334,0.833048803,0.28020757,0.356119066,0.851225811,0.519205609,,,,
600,0.737845488,0.823752914,0.274289784,0.229427979,0.844697525,0.507752618,,,,
601,0.73998224,0.819357309,0.273333333,0.150999001,0.842914863,0.504081474,,,,
602,0.736168646,0.813431383,0.269365079,0.112659563,0.839398379,0.497488067,,,,
603,0.738504829,0.808042698,0.268461538,0.112163022,0.838625079,0.494720465,,,,
604,0.756705887,0.82041551,0.274582825,0.126253376,0.851649092,0.505245495,,,,
605,0.746612277,0.805893736,0.267525438,0.141003071,0.840953121,0.491594702,,,,
606,0.742631813,0.797582788,0.263064713,0.180823991,0.835629556,0.483894254,,,,
607,0.737926888,0.787928738,0.25985755,0.262883413,0.831315351,0.476535687,,,,
608,0.735208125,0.783484293,0.255897436,0.421694972,0.827786658,0.47022311,,,,
609,0.731048581,0.776019906,0.253150183,0.805268435,0.823045103,0.464919895,,,,
610,0.726107596,0.766194916,0.24968254,0.968508159,0.816940097,0.457422947,,,,
611,0.72027935,0.757004847,0.245384615,0.968508159,0.81045251,0.4501702,,,,
612,0.712676583,0.746121656,0.240834351,0.968508159,0.803175343,0.441460391,,,,
613,0.701191031,0.732658083,0.235356125,0.968508159,0.791616532,0.42982018,,,,
614,0.692106782,0.718836349,0.23031746,0.957812188,0.7803182,0.421834832,,,,
615,0.67997003,0.702629593,0.223785104,0.787250527,0.76950827,0.411627262,,,,
616,0.676860547,0.695669886,0.222153032,0.534792245,0.763989344,0.405562956,,,,
617,0.667743738,0.683915714,0.217993488,0.381817072,0.753920154,0.398163688,,,,
618,0.661972472,0.675759426,0.214631665,0.33981463,0.746561587,0.392441262,,,,
619,0.655932586,0.666015836,0.211595442,0.369289599,0.738104118,0.385147815,,,,
620,0.645505236,0.650842861,0.206947497,0.423493913,0.726537167,0.376731047,,,,
621,0.635061605,0.63952825,0.201672772,0.421540312,0.715694676,0.367752618,,,,
622,0.621394531,0.622067932,0.196927147,0.453270063,0.699023939,0.358603249,,,,
623,0.612570763,0.61027306,0.192747253,0.486505717,0.690973471,0.351822622,,,,
624,0.605497095,0.602792393,0.189275539,0.492757243,0.680684501,0.346360676,,,,
625,0.593392903,0.587342657,0.184082214,0.495199245,0.668376808,0.336714767,,,,
626,0.583274873,0.576093166,0.18037851,0.458968069,0.654652755,0.329339919,,,,
627,0.570755541,0.561693492,0.175567766,0.390925741,0.64009842,0.320605691,,,,
628,0.557780368,0.547538018,0.171367521,0.344486994,0.624884745,0.312319162,,,,
629,0.547393717,0.534660525,0.166304436,0.427791838,0.612072372,0.304382654,,,,
630,0.534915085,0.521164391,0.161803012,0.663542754,0.597965738,0.295705406,,,,
631,0.525403485,0.508600289,0.158021978,0.462989233,0.586321456,0.29006438,,,,
632,0.514174344,0.496768787,0.154810745,0.21029082,0.573016613,0.283055833,,,,
633,0.502517853,0.484884375,0.15046398,0.102313612,0.560757761,0.274712325,,,,
634,0.491170681,0.471567322,0.146336996,0.075939986,0.546447626,0.267150257,,,,
635,0.476950087,0.458616569,0.141664632,0.065960336,0.530778111,0.259067229,,,,
636,0.467711178,0.447538018,0.137749288,0.058894809,0.52026122,0.253116883,,,,
637,0.453034743,0.432251082,0.132881563,0.052936323,0.503517224,0.244284974,,,,
638,0.443217893,0.422255152,0.13021164,0.049134939,0.492023532,0.238318348,,,,
639,0.432363192,0.41046842,0.126520147,0.047055167,0.479459429,0.232176712,,,,
640,0.423071373,0.401164391,0.123699634,0.047238317,0.468694269,0.226181596,,,,
641,0.408891479,0.387236837,0.118994709,0.048760499,0.452609613,0.218302068,,,,
642,0.39971769,0.378502609,0.115893366,0.050917601,0.443004403,0.212555223,,,,
643,0.38970548,0.366943797,0.113378103,0.053603804,0.431006031,0.206897917,,,,
