lambda,1,2,3,4,5,6,7,8,9,10
243.3407812,7.3,12.54615385,8.307692308,16.95384615,13,13.90769231,10.93076923,20.85384615,14.76923077,10.49230769
243.5579064,10.56923077,9.730769231,13.03076923,10.18461538,4.330769231,11.9,11.47692308,7.638461538,8.246153846,9.092307692
243.7750216,9.038461538,7.984615385,10.23076923,12.66923077,9.676923077,11.37692308,5.453846154,10.35384615,3.453846154,9.9
243.9921268,3.4,9.938461538,5.469230769,6.446153846,5.738461538,6.176923077,9.523076923,5.315384615,7,10.63076923
244.2092221,9.369230769,11.64615385,15.52307692,7.1,5.753846154,16.03076923,19.2,8.023076923,16.49230769,15.70769231
244.4263073,14.28461538,16.13846154,6.292307692,9.076923077,6.5,3.261538462,13.06923077,5.023076923,11.33846154,13.93076923
244.6433826,10.56923077,21.45384615,16.80769231,16.96923077,13.13076923,9.092307692,6.561538462,23.00769231,17.99230769,8.830769231
244.860448,9.084615385,10.83846154,8.169230769,17.58461538,8.115384615,5.184615385,11.8,12.19230769,4.423076923,12.60769231
245.0775033,12.18461538,13.44615385,10.29230769,6.9,23.33846154,12.19230769,10,10.19230769,12.95384615,7.546153846
245.2945487,13,7.676923077,9.723076923,21.42307692,7.353846154,13.47692308,7.669230769,5.476923077,9.115384615,11.16153846
245.5115841,18.2,13.73846154,19.20769231,9.607692308,11.3,7.853846154,10.34615385,11.46923077,8.484615385,17.60769231
245.7286095,7.146153846,10.36153846,8.538461538,9.730769231,9.476923077,6.646153846,6.430769231,3.515384615,5.223076923,5.146153846
245.945625,10.88461538,17.18461538,11.44615385,13.57692308,8.807692308,14.84615385,13.13846154,8.284615385,5.453846154,8.392307692
246.1626304,4.484615385,15.28461538,7.053846154,11.03846154,18.03846154,8.369230769,14.43846154,6.892307692,8.276923077,8.915384615
246.3796258,9.361538462,13.53846154,16.53846154,14.79230769,24.78461538,14.27692308,18.06153846,13.53846154,8.784615385,9.169230769
246.5966113,6.169230769,7.307692308,6.676923077,12.01538462,8.338461538,2.253846154,11.93076923,5.361538462,8.1,10.74615385
246.8135867,11.50769231,9.515384615,12.92307692,14.85384615,12.26153846,6.915384615,9.046153846,9.461538462,8.592307692,4.869230769
247.0305522,9.476923077,10.70769231,16.20769231,8.769230769,10.10769231,5.838461538,9.330769231,14.28461538,8.376923077,13.96923077
