lambda,1,2,3,4,5,6,7,8,9,10
219.396742,8.923076923,12.76923077,7.215384615,11.42307692,8.807692308,12.63846154,19.92307692,17.57692308,13.8,11.10769231
219.6149484,8.515384615,13.07692308,19.81538462,12.02307692,11.12307692,14.90769231,15.28461538,14.79230769,9.869230769,12.34615385
219.833145,12.13846154,15,24.81538462,21.05384615,12.09230769,8.969230769,14.98461538,17.80769231,13.03076923,22.08461538
220.0513319,7.692307692,9.846153846,10.9,10.57692308,8.353846154,9.8,11.50769231,8.176923077,11.87692308,9.323076923
220.2695091,10.21538462,4.584615385,10.29230769,10.05384615,17.89230769,16.40769231,19.60769231,16.01538462,12.9,11.92307692
220.4876766,15.49230769,8.546153846,9.553846154,12.66923077,9.9,22.33846154,20.63846154,17.5,10.21538462,11.06153846
220.7058344,22.4,20.4,5.146153846,12.8,21.63076923,13.95384615,16.65384615,7.776923077,18.06923077,13.28461538
220.9239825,13.9,11.79230769,13.70769231,11.02307692,7.053846154,9.1,17.79230769,4.746153846,9.076923077,6.146153846
221.1421209,12.53846154,4.884615385,7.761538462,14.83076923,12.63846154,16.07692308,14.76923077,14.33076923,14.56923077,15.05384615
221.3602496,6.138461538,13.33076923,4.515384615,6.8,13.43846154,6.015384615,11.76923077,3.969230769,12.43076923,18.41538462
221.5783685,11.80769231,14.63076923,13.01538462,9.784615385,11.40769231,14.24615385,17.66923077,9.715384615,8.723076923,13.28461538
221.7964777,14.12307692,14.01538462,11.16923077,6.676923077,13.17692308,9.176923077,9.261538462,9.638461538,18.02307692,2.838461538
222.0145773,24.81538462,6.061538462,18.90769231,6.776923077,17.01538462,14.02307692,11.21538462,14.89230769,14.04615385,12.15384615
222.232667,11.23846154,9.338461538,9.746153846,15.06923077,9.492307692,17.33846154,8.276923077,10.98461538,20.40769231,21.00769231
222.4507471,11.70769231,13.46153846,16.83846154,14.29230769,11.24615385,18.14615385,13.23846154,9.792307692,11.43076923,17.21538462
222.6688174,10.44615385,9.030769231,9.053846154,11.67692308,9.238461538,7.515384615,4.676923077,6.684615385,10.50769231,15.37692308
222.886878,13.20769231,22.70769231,13.28461538,10.27692308,7.115384615,13.13076923,7.207692308,12.73076923,14.62307692,16.91538462
223.1049289,7.761538462,6.776923077,11.36923077,8.630769231,6.915384615,10.1,7.369230769,7.323076923,9.584615385,6.453846154
223.3229701,13.28461538,14.11538462,7.730769231,10.1,13.19230769,13.13846154,20.67692308,11.79230769,5.969230769,11.50769231
223.5410015,12.10769231,10.86153846,15.9,13.59230769,8.161538462,11.83846154,13.35384615,1.453846154,5.069230769,11.62307692
223.7590231,9.738461538,15.54615385,16.39230769,15.42307692,17.17692308,12.42307692,13.1,11.93846154,7.884615385,12.96923077
223.977035,8.261538462,16.57692308,5.207692308,2.676923077,7.730769231,15.82307692,7.2,3.461538462,4.461538462,9.523076923
224.1950372,9.446153846,15.67692308,14.53846154,15.16923077,18.77692308,12.37692308,15.33076923,8.915384615,4.307692308,14.24615385
224.4130296,11.55384615,6.476923077,8.638461538,4.384615385,5.592307692,10.70769231,7.669230769,10.16923077,11.06923077,10.8
224.6310123,10.66923077,9.438461538,7.953846154,15.65384615,23.79230769,21.44615385,14.55384615,8.169230769,19.86153846,13.13846154
224.8489852,7.315384615,15.25384615,9.123076923,11.6,9.915384615,8.623076923,13.23846154,4.776923077,7.453846154,14.38461538
225.0669484,20.51538462,16.39230769,17.10769231,13.73846154,15.17692308,14.53846154,12.85384615,12.43076923,13.55384615,9.215384615
225.2849018,12.75384615,9.169230769,14.91538462,15.71538462,10.64615385,14.79230769,15.06923077,5.753846154,14.36923077,10.16923077
225.5028454,11.84615385,14.80769231,14.14615385,22.25384615,15.76153846,22.17692308,16.56153846,14.03846154,6.830769231,10.66153846
225.7207793,14.95384615,10.78461538,5.423076923,8.061538462,11.29230769,6.238461538,12.83846154,2.553846154,17.53076923,7.884615385
225.9387034,11.83846154,16.20769231,22.9,12,13.25384615,15.62307692,16.77692308,13.33846154,15.94615385,8.784615385
226.1566178,10.19230769,11.81538462,7.369230769,8.269230769,15.68461538,16.45384615,19.65384615,19.12307692,3.815384615,11.16153846
226.3745224,8.961538462,18.73076923,15.79230769,13.46153846,22.8,12.13846154,26.86153846,14.80769231,8.492307692,14.18461538
226.5924172,7.569230769,3.461538462,12.87692308,10.16923077,17.44615385,9.638461538,21.39230769,6.776923077,8.892307692,9.923076923
226.8103022,12.91538462,7.753846154,5.176923077,13.03076923,18.04615385,13.66153846,19.94615385,15.01538462,4.838461538,10.36923077
227.0281775,6.423076923,10.03076923,11.10769231,12.6,9.092307692,7.969230769,15.85384615,14.00769231,9.692307692,11.26923077
227.2460429,20.55384615,13.31538462,18.10769231,8.876923077,16.83076923,20.87692308,15.61538462,16.12307692,9.830769231,15.93846154
227.4638986,12.52307692,19.81538462,15.86923077,8.576923077,5.569230769,20.83846154,17.64615385,8.992307692,5.846153846,8.107692308
227.6817445,12.81538462,17.56153846,10.59230769,19.33076923,17.67692308,13.28461538,14.54615385,13.83846154,18.00769231,11.91538462
227.8995807,14.90769231,12.65384615,9.161538462,5.523076923,12.13846154,9.976923077,21.92307692,8.807692308,10.43076923,11.32307692
228.117407,13.16153846,15.5,17.36153846,16.79230769,16.53076923,11.50769231,18.67692308,18.88461538,12.16153846,12.67692308
228.3352236,11.82307692,14.3,10.01538462,4.407692308,16.23846154,14.88461538,19.67692308,16.89230769,9.707692308,17.7
228.5530303,22.08461538,9.838461538,10.54615385,7.869230769,7,14.33846154,10.39230769,11.90769231,5.407692308,12.93076923
228.7708273,15.63846154,11.72307692,13.97692308,11.60769231,13.93846154,7.923076923,13.73846154,11.51538462,12.97692308,12.08461538
228.9886144,16.1,15.51538462,11.26923077,6.846153846,12.90769231,17.20769231,14.56923077,10.68461538,16.6,14.04615385
229.2063918,13.12307692,12.21538462,7.815384615,15.97692308,7.969230769,7.269230769,17.05384615,13.08461538,4.676923077,9.061538462
229.4241593,11.04615385,11.68461538,14.99230769,14.83076923,9.938461538,8.569230769,17.47692308,17,11.85384615,14.36153846
229.6419171,15.78461538,15.12307692,17.06153846,12.59230769,14.5,11.69230769,18.06153846,13.71538462,8.715384615,11.87692308
229.859665,8.215384615,11.27692308,10.86923077,6.207692308,14.09230769,8.076923077,17.89230769,11.83076923,8.915384615,9.923076923
230.0774032,21.17692308,16.17692308,3.8,10.36923077,10.4,15.60769231,25.64615385,12.06923077,3.953846154,10.59230769
230.2951315,16.06923077,17.43846154,21.3,4.946153846,16.13076923,12.13076923,13.65384615,10.91538462,9.815384615,12.9
230.51285,6.053846154,9.230769231,6.853846154,10.51538462,19.12307692,13.36153846,5.492307692,8.223076923,8.8,5.361538462
230.7305587,11.10769231,14.5,17.13076923,11,18.16153846,10.33076923,14.19230769,17.49230769,14.20769231,19.44615385
230.9482575,21.40769231,15.31538462,12.95384615,9.938461538,10.16153846,8.830769231,13.65384615,15.20769231,17.64615385,9.1
231.1659466,24.81538462,14.20769231,7.353846154,16.37692308,23.53076923,16.97692308,19.04615385,11.46923077,14.94615385,10.18461538
231.3836258,20.09230769,6.884615385,9.146153846,5.507692308,17.85384615,7.776923077,17.41538462,12.77692308,12.61538462,10.30769231
231.6012952,6.892307692,22.2,10.89230769,6.176923077,15.61538462,11.17692308,14.08461538,10.61538462,16.44615385,13.34615385
231.8189547,21.54615385,18.32307692,16.59230769,10.67692308,9.023076923,8.115384615,14.28461538,10.82307692,5.176923077,7.223076923
232.0366045,18.08461538,13.12307692,8.561538462,8.861538462,22.2,13.00769231,7.492307692,8.569230769,8.630769231,18.75384615
232.2542444,11.39230769,12.93076923,8.123076923,12.81538462,13.2,10.19230769,3.046153846,9.230769231,6.876923077,3.338461538
232.4718744,12.61538462,18.66153846,14.59230769,15.26153846,13.49230769,15.16923077,18.16153846,10.12307692,7.576923077,12.81538462
232.6894946,7.623076923,17.62307692,10.33076923,14.45384615,9.123076923,7.915384615,8.084615385,11.34615385,8.692307692,13.34615385
232.907105,27.4,22.21538462,10.95384615,12.80769231,7.307692308,10.9,15.72307692,11.85384615,18.22307692,8.992307692
233.1247055,10.48461538,7.369230769,8.976923077,9.438461538,7.184615385,14.27692308,8.2,7.323076923,12.86923077,11.78461538
233.3422962,12.71538462,9.592307692,20.90769231,7.969230769,21.83076923,11.86923077,17.50769231,11.86923077,12.13076923,5.3
233.559877,7.323076923,9.376923077,8.869230769,18.23076923,12.25384615,14.19230769,11.25384615,5.461538462,12.21538462,8.115384615
