lambda,1,2,3,4,5,6,7,8,9,10,11
232.6894946,5.361538462,9.061538462,3.330769231,9.453846154,14.26153846,12.23076923,5.784615385,8.838461538,9.876923077,8.592307692,15.86923077
232.907105,11.7,14.49230769,8.538461538,9.038461538,15.11538462,12.9,22.50769231,17,15.43846154,14.51538462,11.34615385
233.1247055,6.023076923,6.853846154,6,8.961538462,11.75384615,7.938461538,14.36153846,12.73076923,16.81538462,10.65384615,8.715384615
233.3422962,9.092307692,7.246153846,11.7,15.47692308,14.25384615,9.276923077,13.26153846,11.60769231,14.93846154,12.03076923,14.39230769
233.559877,10.96923077,8.553846154,4.707692308,10.76153846,12.45384615,5.246153846,11.73846154,11.08461538,8.784615385,13.13076923,13.48461538
233.777448,10.57692308,12.28461538,14.84615385,18.07692308,12.21538462,5.515384615,18.53076923,15.3,11.49230769,11.69230769,17.15384615
233.9950092,9.3,10.18461538,10.73846154,15.22307692,10.01538462,11.63846154,15.51538462,21.8,10.02307692,12.18461538,8.976923077
234.2125604,10.23076923,14.94615385,18.86923077,12.99230769,15.30769231,8.476923077,11.18461538,10.56923077,22.84615385,14.61538462,17.23076923
234.4301018,16.20769231,6.992307692,9.638461538,13.99230769,4.846153846,10.68461538,13.72307692,6.507692308,17.76923077,15.53076923,9.692307692
234.6476334,13.36153846,12.73076923,13.83076923,14.64615385,11.86923077,15.63846154,10,12.57692308,14.86923077,16.61538462,16.86153846
234.8651551,11.68461538,13.74615385,11,17.85384615,9.776923077,4.184615385,15.63076923,4.269230769,12.17692308,5.784615385,4.815384615
235.0826669,13.54615385,8.284615385,21.16923077,16.29230769,14.67692308,17.22307692,9.815384615,23.68461538,17.31538462,17.15384615,23.46923077
235.3001688,15.80769231,12.29230769,10.49230769,7.069230769,7.276923077,10.84615385,8.338461538,9.930769231,6.915384615,8.392307692,5.861538462
235.5176609,18.91538462,9.292307692,16.16153846,15.67692308,17.12307692,18.96923077,21.58461538,16.11538462,16.19230769,15.49230769,29.96153846
235.7351431,16.13846154,16.16923077,5.861538462,13.4,11.9,13.72307692,11.4,13.77692308,14.96923077,10.43076923,14.40769231
235.9526155,6.8,17.34615385,16.06923077,10.50769231,13.67692308,13.40769231,12.38461538,11.16923077,17.36153846,15.25384615,18.86153846
236.1700779,22.82307692,11.22307692,6.815384615,7.246153846,13.18461538,9.615384615,12.63846154,10.5,11.9,6.661538462,10.68461538
236.3875305,7.630769231,20.34615385,8.184615385,8.4,3.930769231,12.27692308,13.46923077,15.72307692,10.16153846,12.69230769,18.15384615
236.6049732,9.576923077,4.707692308,13.12307692,11.38461538,16.3,12.83846154,19.41538462,15.03846154,15.04615385,10.41538462,10.5
236.822406,11.63846154,14.83076923,19.43846154,17.53076923,13.59230769,16.23076923,15.27692308,15.92307692,11.35384615,20.36923077,14.96153846
237.0398289,5.607692308,14.07692308,15.70769231,17.43076923,15.72307692,7.561538462,14.43846154,8.853846154,12.25384615,20.45384615,10.2
237.2572419,14.88461538,13.92307692,10.87692308,15.2,5.261538462,19.47692308,11.3,13.70769231,14.56153846,14.96153846,16.8
237.474645,8.330769231,12.4,9.684615385,5.792307692,6.946153846,8.5,10.87692308,6.846153846,6.715384615,7.484615385,11.23846154
237.6920383,16.86923077,19.43076923,7.607692308,10.38461538,16.90769231,12.51538462,16.36923077,18.44615385,12.5,8.515384615,13.85384615
237.9094216,12.32307692,8.538461538,11.26153846,9.238461538,2.7,11.93846154,8.384615385,16.56923077,4.353846154,9.492307692,17.39230769
238.126795,9.092307692,18.88461538,17.03076923,14.91538462,20.60769231,12.5,17.16923077,17.41538462,17.14615385,21.13076923,19.62307692
238.3441586,7.646153846,10.14615385,17.23076923,8.984615385,7.615384615,15.24615385,18.14615385,10.54615385,4.323076923,10.90769231,9.815384615
238.5615122,20.13846154,11.13846154,19.76923077,15.24615385,7.723076923,14.49230769,22.38461538,6.853846154,13.63846154,24.43076923,9.323076923
238.7788559,9.861538462,16.21538462,9.215384615,2.892307692,7.307692308,19.19230769,8.753846154,13.81538462,14.93846154,11.49230769,9.607692308
238.9961897,9.415384615,8.830769231,5.623076923,13.38461538,10.76923077,7.907692308,17.38461538,21.4,12.7,16.26153846,11.66923077
239.2135136,10.15384615,8.023076923,13.68461538,8.076923077,13.56153846,11.24615385,9.223076923,15.8,18.26923077,8.961538462,19.32307692
239.4308276,8.761538462,11.83076923,23.34615385,17.53846154,20.08461538,16.43846154,11.99230769,14.36923077,16.54615385,19.06153846,15.13076923
239.6481317,3.884615385,6.023076923,16.00769231,10.23076923,11.60769231,10.10769231,10.42307692,17.69230769,10.12307692,11.69230769,8.446153846
239.8654259,2.384615385,13.16923077,23.13076923,17.58461538,12.06153846,9.146153846,19.76923077,10.15384615,10.93076923,21.05384615,14.76923077
240.0827101,7.561538462,12.08461538,16.04615385,7.969230769,8.076923077,7.023076923,14.03846154,13.23846154,9.707692308,20.63076923,9.938461538
