Distance_(cm),Gray_Value
7.5520,94.570
7.5586,76.121
7.5652,61.627
7.5718,55.359
7.5784,54.329
7.5850,56.670
7.5916,57.385
7.5981,57.850
7.6047,63.554
7.6113,77.636
7.6179,99.226
7.6245,114.693
7.6311,118.755
7.6377,132.317
7.6443,164.207
7.6509,176.304
7.6575,190.200
7.6640,198.572
7.6706,198.489
7.6772,189.103
7.6838,177.199
7.6904,159.973
7.6970,101.308
7.7036,83.033
7.7102,64.542
7.7168,55.065
7.7234,55.000
7.7299,56.392
7.7365,54.531
7.7431,49.595
7.7497,69.329
7.7563,76.939
7.7629,84.696
7.7695,94.892
7.7761,102.840
7.7827,108.036
7.7893,110.421
7.7958,111.469
7.8024,110.405
7.8090,106.742
7.8156,103.265
7.8222,99.703
7.8288,96.079
7.8354,91.954
7.8420,89.575
7.8486,88.269
7.8552,81.411
7.8617,68.570
7.8683,63.167
7.8749,57.317
7.8815,53.655
7.8881,52.810
7.8947,54.993
7.9013,58.389
7.9079,62.033
7.9145,73.092
7.9210,75.820
7.9276,79.586
7.9342,83.395
7.9408,84.039
7.9474,83.688
7.9540,81.537
7.9606,79.891
7.9672,75.295
7.9738,73.853
7.9804,72.193
7.9869,68.689
7.9935,63.672
8.0001,58.750
8.0067,55.259
8.0133,52.810
8.0199,53.348
8.0265,54.637
8.0331,54.651
8.0397,54.542
8.0463,54.530
8.0528,55.353
8.0594,56.827
8.0660,58.000
8.0726,59.112
8.0792,61.695
8.0858,61.443
8.0924,61.333
8.0990,61.333
8.1056,61.333
8.1122,61.333
8.1187,61.026
8.1253,60.450
8.1319,57.361
8.1385,56.376
8.1451,56.333
8.1517,54.548
8.1583,53.473
8.1649,52.506
8.1715,51.538
8.1781,51.333
8.1846,51.333
8.1912,51.333
8.1978,51.999
8.2044,52.966
8.2110,53.934
8.2176,55.470
8.2242,56.333
8.2308,56.837
8.2374,56.862
8.2440,55.895
8.2505,54.806
8.2571,54.131
8.2637,53.944
8.2703,54.247
8.2769,54.333
8.2835,54.333
8.2901,53.840
8.2967,52.000
8.3033,52.000
8.3099,52.000
8.3164,52.000
8.3230,52.000
8.3296,52.000
8.3362,52.000
8.3428,52.000
8.3494,57.512
8.3560,58.246
8.3626,58.498
8.3692,58.751
8.3758,59.003
8.3823,59.256
8.3889,59.509
8.3955,59.761
8.4021,60.014
8.4087,59.638
8.4153,58.923
8.4219,58.208
8.4285,57.469
8.4351,56.502
8.4417,55.534
8.4482,54.905
8.4548,55.380
8.4614,54.778
8.4680,55.107
8.4746,57.775
8.4812,62.361
8.4878,67.294
8.4944,71.803
8.5010,74.673
8.5075,76.958
8.5141,78.901
8.5207,78.372
8.5273,76.513
8.5339,74.859
8.5405,73.662
8.5471,72.075
8.5537,71.880
8.5603,72.076
8.5669,59.863
8.5734,57.651
8.5800,57.179
8.5866,57.021
8.5932,56.523
8.5998,55.903
8.6064,55.843
8.6130,55.437
8.6196,56.914
8.6262,58.000
8.6328,58.551
8.6393,59.634
8.6459,61.551
8.6525,63.182
8.6591,64.368
8.6657,67.071
8.6723,70.767
8.6789,71.600
8.6855,73.142
8.6921,71.704
8.6987,67.732
8.7052,63.284
8.7118,57.869
8.7184,54.396
8.7250,52.968
8.7316,53.510
8.7382,52.214
8.7448,50.531
8.7514,48.849
8.7580,48.985
8.7646,50.992
8.7711,53.180
8.7777,55.367
8.7843,64.827
8.7909,68.077
8.7975,68.668
8.8041,69.173
8.8107,69.678
8.8173,70.183
8.8239,70.688
8.8305,71.193
8.8370,65.965
8.8436,60.447
8.8502,59.732
8.8568,58.831
8.8634,57.529
8.8700,56.379
8.8766,55.778
8.8832,55.853
8.8898,55.813
8.8964,54.104
8.9029,54.392
8.9095,56.491
8.9161,59.200
8.9227,60.552
8.9293,62.602
8.9359,64.367
8.9425,65.321
8.9491,58.525
8.9557,57.625
8.9623,56.910
8.9688,56.195
8.9754,55.480
8.9820,54.765
8.9886,54.050
8.9952,54.077
9.0018,52.913
9.0084,51.656
9.0150,51.333
9.0216,50.721
9.0282,50.333
9.0347,49.786
9.0413,49.333
9.0479,48.850
9.0545,50.586
9.0611,53.333
9.0677,53.333
9.0743,53.333
9.0809,53.479
9.0875,55.093
9.0940,57.197
9.1006,59.613
9.1072,61.555
9.1138,62.175
9.1204,61.149
9.1270,59.866
9.1336,57.258
9.1402,55.567
9.1468,53.342
9.1534,52.182
9.1599,51.460
9.1665,54.063
9.1731,54.333
9.1797,54.333
9.1863,54.333
9.1929,54.333
9.1995,54.333
9.2061,54.333
9.2127,54.333
9.2193,55.825
9.2258,56.917
9.2324,57.170
9.2390,57.422
9.2456,57.675
9.2522,57.927
9.2588,58.180
9.2654,58.333
9.2720,57.445
9.2786,56.000
9.2852,56.000
9.2917,56.703
9.2983,57.627
9.3049,57.440
9.3115,55.678
9.3181,54.000
9.3247,53.637
9.3313,51.055
9.3379,51.933
9.3445,53.154
9.3511,54.374
9.3576,55.594
9.3642,56.814
9.3708,58.034
9.3774,59.254
9.3840,57.986
9.3906,57.898
9.3972,58.150
9.4038,58.403
9.4104,58.655
9.4170,58.908
9.4235,59.160
9.4301,59.413
9.4367,59.666
9.4433,59.918
9.4499,59.495
9.4565,58.255
9.4631,57.235
9.4697,56.520
9.4763,55.625
9.4829,54.657
9.4894,54.311
9.4960,55.000
9.5026,54.282
9.5092,53.764
9.5158,53.733
9.5224,54.192
9.5290,55.317
9.5356,56.538
9.5422,57.758
9.5488,58.940
9.5553,58.434
9.5619,58.928
9.5685,58.512
9.5751,58.077
9.5817,58.475
9.5883,58.516
9.5949,58.605
9.6015,56.712
9.6081,55.515
9.6147,55.333
9.6212,54.671
9.6278,53.704
9.6344,53.333
9.6410,52.768
9.6476,52.333
9.6542,54.833
9.6608,57.586
9.6674,57.838
9.6740,58.091
9.6805,58.340
9.6871,58.509
9.6937,58.677
9.7003,58.845
9.7069,58.777
9.7135,58.570
9.7201,59.343
9.7267,59.556
9.7333,59.222
9.7399,58.199
9.7464,56.823
9.7530,56.111
9.7596,55.393
9.7662,55.348
9.7728,55.333
9.7794,55.333
9.7860,55.333
9.7926,55.333
9.7992,55.333
9.8058,55.333
9.8123,55.333
9.8189,58.078
9.8255,59.567
9.8321,59.819
9.8387,60.143
9.8453,60.648
9.8519,61.154
9.8585,61.659
9.8651,62.000
9.8717,59.850
9.8782,57.000
9.8848,57.000
9.8914,57.000
9.8980,57.000
9.9046,57.000
9.9112,57.000
9.9178,56.898
9.9244,57.107
9.9310,59.608
9.9376,59.860
9.9441,60.000
9.9507,60.000
9.9573,60.000
9.9639,60.000
9.9705,60.000
9.9771,60.000
9.9837,59.121
9.9903,59.000
9.9969,59.000
10.0035,59.000
10.0100,59.000
10.0166,59.000
10.0232,59.000
10.0298,59.000
10.0364,57.761
10.0430,56.609
10.0496,56.333
10.0562,56.333
10.0628,56.333
10.0694,56.333
10.0759,56.333
10.0825,56.333
10.0891,55.973
10.0957,55.333
10.1023,55.333
10.1089,55.333
10.1155,55.333
10.1221,55.333
10.1287,55.518
10.1353,55.770
10.1418,56.401
10.1484,60.979
10.1550,60.297
10.1616,59.330
10.1682,58.362
10.1748,57.395
10.1814,56.427
10.1880,55.460
10.1946,54.492
