Distance_(cm),Gray_Value
4.7949,119.002
4.8016,118.242
4.8084,120.464
4.8151,121.679
4.8218,123.691
4.8285,125.193
4.8353,125.843
4.8420,126.668
4.8487,127.399
4.8554,123.662
4.8622,122.126
4.8689,123.307
4.8756,124.920
4.8823,125.972
4.8891,126.664
4.8958,127.934
4.9025,128.309
4.9092,129.376
4.9160,129.679
4.9227,129.192
4.9294,128.521
4.9361,127.687
4.9429,126.521
4.9496,125.946
4.9563,124.954
4.9630,124.073
4.9698,124.334
4.9765,125.121
4.9832,125.730
4.9899,126.543
4.9967,127.230
5.0034,127.785
5.0101,128.500
5.0168,124.186
5.0236,121.723
5.0303,121.665
5.0370,121.506
5.0437,121.398
5.0505,121.308
5.0572,121.298
5.0639,121.000
5.0706,120.570
5.0774,120.389
5.0841,120.345
5.0908,121.225
5.0975,122.408
5.1043,123.407
5.1110,124.228
5.1177,125.131
5.1244,124.333
5.1312,123.954
5.1379,125.647
5.1446,129.780
5.1513,136.736
5.1581,145.500
5.1648,153.867
5.1715,159.500
5.1782,151.175
5.1850,136.289
5.1917,124.131
5.1984,114.778
5.2051,114.830
5.2119,122.368
5.2186,129.301
5.2253,132.090
5.2320,131.189
5.2388,130.061
5.2455,130.107
5.2522,129.913
5.2589,128.850
5.2657,126.076
5.2724,123.886
5.2791,123.945
5.2858,126.778
5.2926,130.061
5.2993,127.111
5.3060,122.151
5.3127,117.079
5.3195,116.015
5.3262,118.719
5.3329,121.840
5.3396,119.002
5.3464,114.793
5.3531,134.923
5.3598,157.948
5.3665,169.542
5.3733,167.183
5.3800,148.834
5.3867,122.017
5.3934,107.421
5.4002,117.606
5.4069,119.964
5.4136,121.521
5.4203,123.115
5.4271,125.129
5.4338,126.092
5.4405,127.432
5.4472,129.143
5.4539,137.313
5.4607,141.999
5.4674,146.249
5.4741,149.148
5.4808,148.956
5.4876,145.996
5.4943,143.084
5.5010,141.068
5.5077,135.914
5.5145,132.642
5.5212,128.590
5.5279,123.392
5.5346,121.434
5.5414,122.251
5.5481,125.064
5.5548,125.739
5.5615,118.441
5.5683,118.257
5.5750,115.765
5.5817,108.425
