Distance,Intensite
1310,75.278
1311,76.408
1312,77.333
1313,77.333
1314,77.333
1315,77.264
1316,76.278
1317,75.642
1318,75.633
1319,75.311
1320,74.333
1321,73.350
1322,71.700
1323,71.367
1324,72.078
1325,72.139
1326,72.867
1327,73.900
1328,74.000
1329,72.967
1330,72.806
1331,72.667
1332,72.367
1333,71.442
1334,71.489
1335,72.458
1336,73.800
1337,73.808
1338,74.817
1339,74.772
1340,74.833
1341,73.958
1342,73.789
1343,72.986
1344,72.000
1345,72.014
1346,72.028
1347,71.892
1348,71.900
1349,71.908
1350,72.750
1351,73.258
1352,75.000
1353,76.700
1354,79.233
1355,81.347
1356,82.767
1357,83.797
1358,84.828
1359,85.525
1360,85.333
1361,86.122
1362,85.000
1363,86.308
1364,89.144
1365,92.458
1366,94.567
1367,96.478
1368,97.400
1369,96.258
1370,94.000
1371,87.667
1372,83.100
1373,78.706
1374,73.700
1375,69.875
1376,67.067
1377,65.242
1378,64.906
1379,64.881
1380,66.167
1381,67.289
1382,69.728
1383,72.725
1384,76.200
1385,76.986
1386,79.050
1387,79.775
1388,80.767
1389,81.758
1390,83.000
1391,82.592
1392,82.800
1393,81.739
1394,82.644
1395,82.375
1396,81.756
1397,81.333
1398,82.883
1399,82.667
1400,81.667
1401,81.333
1402,81.333
1403,79.181
1404,78.867
1405,78.861
1406,78.522
1407,79.000
1408,79.244
1409,79.247
1410,79.083
1411,79.667
1412,81.000
1413,82.667
1414,86.378
1415,89.653
1416,92.067
1417,93.078
1418,94.333
1419,92.275
1420,91.278
1421,89.403
1422,87.650
1423,86.242
1424,86.067
1425,86.333
1426,86.489
1427,85.586
1428,84.600
1429,83.578
1430,82.806
1431,82.100
1432,82.000
1433,81.961
1434,82.567
1435,82.583
1436,82.967
1437,83.650
1438,85.000
1439,84.667
1440,86.333
1441,87.678
1442,91.022
1443,93.683
1444,97.344
1445,99.375
1446,100.383
1447,100.333
1448,97.467
1449,94.817
1450,91.139
1451,88.425
1452,85.333
1453,83.369
1454,81.000
1455,79.333
1456,77.422
1457,76.667
1458,78.100
1459,78.878
1460,81.222
1461,83.350
1462,85.489
1463,88.781
1464,91.467
1465,94.431
1466,97.622
1467,99.492
1468,102.267
1469,104.300
1470,105.333
1471,104.022
1472,99.844
1473,96.392
1474,92.433
1475,91.083
1476,91.000
1477,92.972
1478,96.611
1479,100.800
1480,103.778
1481,105.667
1482,106.333
1483,106.572
1484,107.911
1485,109.417
1486,111.411
1487,112.072
1488,111.867
1489,109.850
1490,104.556
1491,95.917
1492,88.178
1493,83.000
1494,79.483
1495,77.944
1496,79.778
1497,82.108
1498,85.956
1499,86.644
1500,87.500
1501,88.525
1502,89.389
1503,90.258
1504,91.289
1505,91.444
1506,92.650
1507,92.892
1508,94.000
1509,94.425
1510,95.917
1511,98.028
1512,99.800
1513,98.769
1514,95.328
1515,93.500
1516,91.889
1517,90.956
1518,90.933
1519,91.692
1520,93.444
1521,94.317
1522,94.844
1523,95.461
1524,95.667
1525,94.375
1526,92.667
1527,91.575
1528,90.511
1529,90.581
1530,90.333
1531,89.839
1532,87.511
1533,85.033
1534,80.900
1535,77.111
1536,74.400
1537,72.489
1538,70.756
1539,70.767
1540,71.444
1541,74.000
1542,78.567
1543,85.764
1544,96.000
1545,105.167
1546,109.417
1547,110.233
1548,108.400
1549,106.422
1550,102.500
1551,99.258
1552,98.244
1553,97.000
1554,96.983
1555,96.625
1556,96.633
1557,96.967
1558,98.294
1559,99.981
1560,101.667
1561,103.672
1562,105.667
1563,107.033
1564,108.056
1565,109.028
1566,109.683
1567,109.647
1568,108.289
1569,107.517
1570,105.111
1571,102.269
1572,96.600
1573,91.639
1574,86.944
1575,82.125
1576,80.244
1577,79.475
1578,80.167
1579,82.861
1580,87.111
1581,90.900
1582,94.033
1583,96.256
1584,97.467
1585,99.139
1586,100.433
1587,102.267
1588,104.444
1589,105.806
1590,106.333
1591,107.689
1592,108.378
1593,107.367
1594,107.378
1595,107.389
1596,106.733
1597,105.411
1598,104.756
1599,101.992
1600,98.667
1601,96.464
1602,96.333
1603,96.931
1604,99.789
1605,102.792
1606,106.050
1607,108.189
1608,109.333
1609,106.939
1610,102.861
1611,98.192
1612,94.089
1613,91.039
1614,90.117
1615,92.069
1616,96.533
1617,100.200
1618,102.567
1619,103.950
1620,104.500
1621,104.203
1622,102.861
1623,101.683
1624,101.311
1625,100.944
1626,100.933
1627,100.922
1628,99.811
1629,100.233
1630,100.083
1631,101.000
1632,102.067
1633,103.392
1634,106.000
1635,109.000
1636,112.333
1637,114.642
1638,116.967
1639,118.536
1640,119.444
1641,118.575
1642,117.244
1643,115.025
1644,113.000
1645,110.764
1646,107.378
1647,105.550
1648,103.044
1649,101.442
1650,101.250
1651,100.311
1652,99.622
1653,96.267
