Distance_(cm),Gray_Value
4.34071,47.624
4.34738,47.257
4.35405,48.991
4.36072,54.171
4.36738,76.410
4.37405,109.737
4.38072,130.734
4.38739,156.970
4.39406,190.227
4.40072,187.189
4.40739,172.123
4.41406,174.731
4.42073,173.927
4.42739,162.880
4.43406,145.129
4.44073,125.393
4.44740,105.178
4.45407,84.862
4.46073,63.469
4.46740,44.913
4.47407,40.704
4.48074,52.462
4.48740,77.308
4.49407,107.963
4.50074,135.533
4.50741,154.059
4.51408,163.256
4.52074,164.658
4.52741,161.439
4.53408,157.686
4.54075,157.680
4.54741,158.422
4.55408,160.094
4.56075,160.532
4.56742,155.819
4.57409,146.319
4.58075,137.614
4.58742,118.332
4.59409,106.349
4.60076,82.476
4.60742,57.418
4.61409,43.121
4.62076,43.444
4.62743,52.150
4.63410,59.745
4.64076,74.498
4.64743,93.207
4.65410,121.261
4.66077,147.951
4.66743,162.189
4.67410,164.291
4.68077,161.014
4.68744,158.968
4.69411,152.709
4.70077,150.308
4.70744,158.173
4.71411,163.374
4.72078,157.898
4.72744,147.422
4.73411,131.138
4.74078,107.182
4.74745,81.219
4.75412,59.579
4.76078,54.593
4.76745,48.109
4.77412,44.799
4.78079,52.757
4.78745,77.792
4.79412,110.131
4.80079,136.173
4.80746,150.836
4.81413,151.313
4.82079,151.158
4.82746,150.288
4.83413,146.677
4.84080,141.989
4.84746,142.257
4.85413,145.567
4.86080,142.371
4.86747,130.010
4.87414,106.784
4.88080,79.489
4.88747,57.799
4.89414,47.454
4.90081,47.586
4.90747,53.387
4.91414,54.541
4.92081,54.391
4.92748,60.283
4.93414,70.520
4.94081,85.878
4.94748,105.143
4.95415,120.260
4.96082,127.404
4.96748,123.293
4.97415,109.503
4.98082,108.574
4.98749,105.544
4.99415,99.663
5.00082,92.235
5.00749,83.693
5.01416,76.957
5.02083,73.800
5.02749,58.127
5.03416,57.839
5.04083,55.174
5.04750,53.318
5.05416,52.380
5.06083,53.272
5.06750,55.036
5.07417,57.183
5.08084,57.904
5.08750,58.155
5.09417,57.960
5.10084,57.989
5.10751,58.240
5.11417,58.333
5.12084,58.333
5.12751,58.333
5.13418,56.263
5.14085,54.159
5.14751,54.410
5.15418,54.660
5.16085,54.911
5.16752,55.000
5.17418,55.000
5.18085,55.000
5.18752,54.331
5.19419,52.000
5.20086,52.159
5.20752,53.000
5.21419,53.096
5.22086,54.000
5.22753,54.032
5.23419,55.000
5.24086,55.000
5.24753,56.093
5.25420,56.797
5.26087,58.210
5.26753,59.747
5.27420,60.979
5.28087,62.197
5.28754,63.416
5.29420,64.579
5.30087,59.603
5.30754,56.350
5.31421,55.382
5.32088,54.414
5.32754,53.446
5.33421,52.478
5.34088,51.510
5.34755,50.541
5.35421,54.421
5.36088,60.066
5.36755,62.645
5.37422,67.384
5.38089,72.341
5.38755,77.687
5.39422,82.307
5.40089,85.694
5.40756,86.797
5.41422,86.259
5.42089,85.249
5.42756,82.016
5.43423,79.159
5.44090,74.995
5.44756,70.733
5.45423,68.510
5.46090,67.017
5.46757,60.224
5.47423,56.773
5.48090,51.951
5.48757,48.631
5.49424,48.111
5.50090,50.483
5.50757,54.559
5.51424,58.271
5.52091,64.598
5.52758,73.534
5.53424,84.232
5.54091,96.017
5.54758,106.972
5.55425,114.785
5.56091,119.867
5.56758,121.511
5.57425,113.340
5.58092,110.637
5.58759,116.132
5.59425,109.254
5.60092,91.849
5.60759,72.353
5.61426,58.973
5.62092,54.113
5.62759,54.650
5.63426,53.610
5.64093,55.239
5.64760,57.162
5.65426,61.925
5.66093,68.584
5.66760,79.389
5.67427,92.217
5.68093,103.321
5.68760,115.799
5.69427,122.302
5.70094,127.485
5.70761,131.998
5.71427,131.594
5.72094,126.232
5.72761,119.242
5.73428,114.773
5.74094,96.034
5.74761,79.400
